STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00200230,42.29806,-83.66388,247.8,1963,732,732,76,41,79,9,16,124,60,166,15,-14,7,4,1.26,96,32,28,20,20,0,29,24,24,20,12,6508,6508,16.84,22.2,49.4,59.8,39.1
USC00200230,42.29806,-83.66388,247.8,1966,,,86,60,53,10,,,,,,,10,7.5,1.68,,,,,,,,,,,,,,26.81,35.2,,,
USC00200230,42.29806,-83.66388,247.8,1967,693,693,110,73,,,4,123,45,137,3,-6,,,2.15,92,32,25,15,15,15,32,27,24,15,15,,,33.61,,49.4,58.2,40.5
USC00200230,42.29806,-83.66388,247.8,1968,813,813,103,67,,8,5,113,46,139,13,-4,,8,3.29,93,32,27,24,19,16,32,28,24,20,16,6158,6158,39.24,22.5,50.4,59.2,41.6
USC00200230,42.29806,-83.66388,247.8,1969,817,817,120,64,,6,2,128,38,140,8,-3,,3.4,1.31,93,23,23,23,18,16,32,16,16,16,16,6142,6142,31.83,20.5,50.2,59,41.5
USC00200230,42.29806,-83.66388,247.8,1970,924,924,134,83,,19,6,127,48,150,3,-7,,4,1.38,92,31,27,17,17,15,31,28,20,20,14,6368,6368,30.92,44.4,50.4,59.3,41.6
USC00200230,42.29806,-83.66388,247.8,1971,888,888,114,59,42,15,5,132,40,159,12,-7,5,3,3.94,97,31,21,21,17,16,31,27,21,20,16,6323,6323,23.98,29.2,50.8,60.1,41.4
USC00200230,42.29806,-83.66388,247.8,1972,723,723,145,76,51,16,6,140,42,138,6,-14,4,6,1.11,93,29,23,23,20,5,29,23,23,16,16,6043,6043,28.91,40.2,48.6,57.3,40
USC00200230,42.29806,-83.66388,247.8,1973,861,861,134,69,51,13,2,107,37,145,12,-6,13,12.4,1.51,94,28,28,22,19,15,30,25,23,18,10,6032,6032,35.98,43.5,51.7,60.4,43
USC00200230,42.29806,-83.66388,247.8,1974,682,682,143,69,77,18,0,136,40,141,7,1,16,15.8,1.22,94,28,28,20,20,14,29,28,21,4,4,6025,6025,27.86,65.7,49.4,58.3,40.5
